MobilePhoneList [2009-06-29 08:00:00] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"80","DoCoMo","F672i","F672i","DoCoMo/1.0/F672i","mova","4.0","160","120","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-09","","","2008-01-22 21:41:05"
"81","DoCoMo","SO213i （premini）","SO213i","DoCoMo/1.0/SO213i","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2004-07","","","2008-01-22 21:50:55"
"82","DoCoMo","SO213iS (premini-S)","SO213iS","DoCoMo/1.0/SO213iS","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2004-11","","","2008-01-22 21:43:51"
"83","DoCoMo","SO213iWR (RADIDEN)","SO213iWR","DoCoMo/1.0/SO213iWR","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2005-10","","","2008-01-22 21:44:48"
"84","DoCoMo","F2051","F2051","DoCoMo/2.0 F2051","FOMA","4.0","176","182","65536","100","1","1","0","0","","","1","0","1","1","1","0","1","0","2003-01","","","2008-01-22 21:47:42"
"85","DoCoMo","N2051","N2051","DoCoMo/2.0 N2051","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2003-01","","","2008-01-22 21:52:28"
"86","DoCoMo","P2102V","P2102V","DoCoMo/2.0 P2102V","FOMA","4.0","176","198","262144","100","1","1","0","0","","","1","0","1","1","1","0","","","2003-03","","","2008-01-17 14:28:24"
"87","DoCoMo","F2102V","F2102V","DoCoMo/2.0 F2102V","FOMA","4.0","176","182","65536","100","1","1","0","0","","","1","0","1","1","1","0","","","2003-07","","","2008-01-17 14:28:24"
"88","DoCoMo","N2102V","N2102V","DoCoMo/2.0 N2102V","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","","","2003-07","","","2008-10-22 15:07:45"
"89","DoCoMo","N2701","N2701","DoCoMo/2.0 N2701","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","","","2003-06","注：ドッチーモ端末、movaモード時のエージェントは「DoCoMo/1.0/N2701」","","2008-01-17 14:28:24"
"90","DoCoMo","NM850iG","NM850iG","DoCoMo/2.0 NM850iG","FOMA","4.0","176","144","65536","100","1","1","0","0","","","1","0","1","1","1","0","","","2006-03","","","2008-01-17 14:28:25"
"91","DoCoMo","D505i","D505i","DoCoMo/1.0/D505i","mova","5.0","240","270","","20","1","1","0","1","1.0","20","1","0","1","1","1","0","0","","2003-05","","","2008-07-03 11:10:11"
"92","DoCoMo","SO505i","SO505i","DoCoMo/1.0/SO505i","mova","5.0","256","240","","20","1","1","0","1","1.0","200","1","0","1","1","1","0","","","2003-06","","","2008-01-16 19:34:47"
"93","DoCoMo","SH505i","SH505i","DoCoMo/1.0/SH505i","mova","5.0","240","252","","20","1","1","0","1","1.0","200","1","0","1","1","1","0","0","","2003-06","","","2009-01-05 19:34:02"
"94","DoCoMo","N505i","N505i","DoCoMo/1.0/N505i","mova","5.0","240","270","","20","1","1","0","1","1.0","200","1","0","1","1","1","0","","","2003-07","","","2009-05-11 16:11:46"
"95","DoCoMo","F505i","F505i","DoCoMo/1.0/F505i","mova","5.0","240","268","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2003-07","","","2008-01-16 19:35:47"
"96","DoCoMo","P505i","P505i","DoCoMo/1.0/P505i","mova","5.0","240","266","65536","20","1","1","0","1","1.0","256","1","0","1","1","1","0","","","2003-08","","","2008-01-17 17:18:00"
"97","DoCoMo","D505iS","D505iS","DoCoMo/1.0/D505iS","mova","5.0","240","270","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2003-10","","","2008-01-16 19:36:22"
"98","DoCoMo","P505iS","P505iS","DoCoMo/1.0/P505iS","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","","2003-11","","","2008-01-17 17:18:32"
"99","DoCoMo","N505iS","N505iS","DoCoMo/1.0/N505iS","mova","5.0","240","270","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2003-12","","","2008-01-16 19:37:07"
"100","DoCoMo","SO505iS","SO505iS","DoCoMo/1.0/SO505iS","mova","5.0","240","256","","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","","2003-12","","","2008-01-16 19:37:36"
"101","DoCoMo","SH505iS","SH505iS","DoCoMo/1.0/SH505iS","mova","5.0","240","252","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2003-12","","","2008-01-16 19:38:16"
"102","DoCoMo","F505iGPS","F505iGPS","DoCoMo/1.0/F505iGPS","mova","5.0","240","268","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2003-12","","","2008-01-16 19:38:31"
"103","DoCoMo","D252i","D252i","DoCoMo/1.0/D252i","mova","5.0","176","198","262144","10","1","1","0","0","","","0","0","1","1","1","0","","","2003-09","","","2008-01-17 14:28:24"
"104","DoCoMo","SH252i","SH252i","DoCoMo/1.0/SH252i","mova","5.0","240","252","262144","20","1","1","0","0","","","0","0","1","1","1","0","","","2003-10","","","2008-01-17 14:28:24"
"105","DoCoMo","P252i","P252i","DoCoMo/1.0/P252i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2003-10","","","2008-01-17 14:28:24"
"106","DoCoMo","N252i","N252i","DoCoMo/1.0/N252i","mova","5.0","132","140","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2003-10","","","2008-01-17 14:28:24"
"107","DoCoMo","P252iS","P252iS","DoCoMo/1.0/P252iS","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","","2004-04","","","2008-01-17 14:28:24"
"108","DoCoMo","D506i","D506i","DoCoMo/1.0/D506i","mova","5.0","240","270","","20","1","1","0","1","1.0","300","1","0","1","1","1","0","","","2004-05","","","2008-01-17 16:24:01"
