MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"82","DoCoMo","SO213iS (premini-S)","SO213iS","DoCoMo/1.0/SO213iS","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2004-11","","","2008-01-22 21:43:51"
"83","DoCoMo","SO213iWR (RADIDEN)","SO213iWR","DoCoMo/1.0/SO213iWR","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2005-10","","","2008-01-22 21:44:48"
"84","DoCoMo","F2051","F2051","DoCoMo/2.0 F2051","FOMA","4.0","176","182","65536","100","1","1","0","0","","","1","0","1","1","1","0","1","0","2003-01","","","2008-01-22 21:47:42"
"85","DoCoMo","N2051","N2051","DoCoMo/2.0 N2051","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","0","0","2003-01","","","2008-01-22 21:52:28"
"86","DoCoMo","P2102V","P2102V","DoCoMo/2.0 P2102V","FOMA","4.0","176","198","262144","100","1","1","0","0","","","1","0","1","1","1","0","","0","2003-03","","","2009-09-15 17:36:05"
"87","DoCoMo","F2102V","F2102V","DoCoMo/2.0 F2102V","FOMA","4.0","176","182","65536","100","1","1","0","0","","","1","0","1","1","1","0","","0","2003-07","","","2009-09-15 17:37:45"
"88","DoCoMo","N2102V","N2102V","DoCoMo/2.0 N2102V","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","","0","2003-07","","","2009-09-15 17:38:32"
"89","DoCoMo","N2701","N2701","DoCoMo/2.0 N2701","FOMA","4.0","176","198","65536","100","1","1","0","0","","","1","0","1","1","1","0","","0","2003-06","","","2009-09-15 17:39:59"
"90","DoCoMo","NM850iG","NM850iG","DoCoMo/2.0 NM850iG","FOMA","4.0","176","144","65536","100","1","1","0","0","","","1","1","1","1","1","0","","0","2006-03","","","2009-09-15 17:40:50"
"91","DoCoMo","D505i","D505i","DoCoMo/1.0/D505i","mova","5.0","240","270","242144","20","1","1","0","1","1.0","20","1","0","1","1","1","0","0","0","2003-05","","","2009-09-15 17:47:01"
"92","DoCoMo","SO505i","SO505i","DoCoMo/1.0/SO505i","mova","5.0","256","240","242144","20","1","1","0","1","1.0","200","1","0","1","1","1","0","","0","2003-06","","","2009-09-15 17:47:27"
